gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000244094	0.84583514235302	5.06547345863312	4.77304533553948	1.06126657145204	0.288568773025302	NA	SPRR2F	6705
ENSG00000108342	53.1525957781393	4.8509661205858	0.490101005319474	9.89789057344146	4.2514753779726e-23	2.1410115079368e-20	CSF3	1440
ENSG00000188089	1.71437176075875	4.62894308030458	1.9241381318118	2.4057228552224	0.0161405041609656	NA	PLA2G4E	123745
ENSG00000135547	1.45621720781306	-4.53394465076603	1.65205212948425	-2.74443195214516	0.00606157200069551	NA	HEY2	23493
ENSG00000197978	3.92965926896662	-4.27684306810988	1.50956443283026	-2.83316364316512	0.00460897845994731	NA	GOLGA6L9	440295
ENSG00000108622	0.730530640955404	4.23910306893619	2.33437509202116	1.8159476955633	0.0693783959082783	NA	ICAM2	3384
ENSG00000106328	0.545656735991453	-4.20588849831225	3.24637522832989	-1.29556449963302	0.195125566389474	NA	FSCN3	29999
ENSG00000143556	3.42214606406773	4.20159124413636	1.19130725945054	3.52687454122813	0.000420495961121753	NA	S100A7	6278
ENSG00000261272	0.717605409684843	4.1986395890894	4.41276088187682	0.951476796835557	0.34136239180258	NA	MUC22	100507679
ENSG00000238649	1.97693108904862	4.17361231153812	1.52471484058411	2.73730680678575	0.00619444919513911	NA	SNORD42A	26809
ENSG00000086288	2.93999898597414	4.10420179619543	1.49941551993614	2.73720109044238	0.00619644029775186	NA	NME8	51314
ENSG00000174175	0.38049075959464	-4.06490636647056	5.42142300904088	-0.749785869815331	0.453383680336977	NA	SELP	6403
ENSG00000139304	2.17037781529758	-3.98382895585803	1.51253529705641	-2.63387503327102	0.0084416551261405	NA	PTPRQ	374462
ENSG00000184330	0.818926433187898	3.96138871222302	3.94444563282513	1.00429542728562	0.315236237072529	NA	S100A7A	338324
ENSG00000259772	20.5964227757231	-3.92361213706354	1.35829041403044	-2.88864008501765	0.00386911647429745	0.112651770237735	LOC283710	283710
ENSG00000146250	2.50263985005774	-3.8457347354003	1.53185473796231	-2.51050875784471	0.0120557331674281	NA	PRSS35	167681
ENSG00000151224	2.0065565934377	-3.84481201078246	1.59126180981586	-2.41620328412669	0.0156833027149522	NA	MAT1A	4143
ENSG00000167037	28.3654843414508	3.82142086792013	1.32141153108425	2.89192335470583	0.00382891342679481	0.112012108178203	SGSM1	129049
ENSG00000170276	0.495001920859401	3.80049340880611	4.83906108938949	0.785378266279665	0.432231819609067	NA	HSPB2	3316
ENSG00000169962	5.22356942570437	-3.79540966543781	1.30363601894848	-2.91140288414186	0.00359809740703312	0.107998521950175	TAS1R3	83756
